Area Codes,Active
48180,65
48174,30
48111,32
48126,48
48228,20
48146,14
48141,10
48134,14
48125,7
48120,14
48186,21
48239,11
48185,12
48183,17
48161,5
48122,20
48187,16
48184,12
48164,13
48166,11
48198,4
48217,2
48221,5
48219,5
48192,7
48197,6
48240,1
48127,4
48229,3
48227,6
48193,11
48238,3
48162,12
48204,2
48210,12
48135,6
48124,5
48117,5
48235,6
48223,5
48021,1
48195,12
48336,1
48173,10
48101,6
48188,14
48033,
48218,4
48176,
48324,
49286,
48746,
48382,2
48152,3
49013,
48211,
70052,
48214,
48375,3
48216,
48034,2
48104,
48230,
48507,
48237,
48658,
48108,3
48220,
48313,
48154,
43615,
43560,
48377,
48224,2
48205,
48093,1
48075,3
48170,6
48209,2
61107,
48202,2
92562,
48203,
48191,1
48105,5
48112,1
48160,1
48167,1
48331,1
48212,13
48430,1
48169,2
48111-2157,1
48126,1
48035,1
48089,2
48071,1
48044,1
48390,2
48180,1
48159,1
48179,1
49036,1
43551,1
60142,2
48180-3925,1
48210-1897,1
48182,1
48326,2
48225,1
48335,1
48066,1
48150,2
43612,1
48195-4648,1
48103,2
48393,1
48185-1165,1
48038,1
48185-4506,2
48744,1
48140,1
48111,1
48186-4351,1
49201,1
48186-8924,1
49461,1
43613,1
48163,1
48307,1
48076,2
48141-1674,1
48322,3
